index,cleaned_job_title,senior,min_salary_estimate,max_salary_estimate,average_salary,cleaned_company_name,rating,location_city,location_state,headquarters_city,headquarters_state,same_state,size,founded,type_of_ownership,industry,sector,revenue,python,r_skills,sql_skills,spark,hadoop,tableau,excel,aws,azure,tensorflow,keras,pytorch,sas
521,"Data Scientist",0,212,331,271.50,"Aveshka, Inc.",3.8,Washington,DC,Arlington,VA,0,"51 to 200 employees",2010,"Company - Public","IT Services","Information Technology","$10 to $25 million (USD)",1,1,1,1,0,0,1,0,0,0,0,0,1
522,"Data Manager",0,212,331,271.50,"10x Genomics",4.2,Raleigh,NC,Pleasanton,CA,0,"501 to 1000 employees",2012,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable",0,0,0,0,0,0,1,0,0,0,0,0,0
523,"Data Engineer",0,212,331,271.50,"Southwest Research Institute",3.9,Dayton,OH,"San Antonio",TX,0,"1001 to 5000 employees",1947,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)",1,0,0,0,0,0,1,0,0,0,0,0,0
524,"Data Scientist",0,212,331,271.50,CompuForce,NULL,"New York",NY,"New York",NY,1,Unknown,NULL,"Company - Private",NULL,NULL,"Unknown / Non-Applicable",0,1,0,1,1,0,1,1,0,0,0,0,0
525,"Data Scientist",0,212,331,271.50,"Smith Hanley Associates",4.5,Washington,DC,"New York",NY,0,"1 to 50 employees",1980,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable",1,1,1,0,0,0,0,0,0,0,0,0,0
526,"Machine Learning Engineer",0,212,331,271.50,"Allen Institute",3.5,Seattle,WA,Seattle,WA,1,"201 to 500 employees",2003,"Nonprofit Organization","Research & Development","Business Services","$100 to $500 million (USD)",0,0,0,0,0,0,0,0,0,0,0,0,0
527,"Data Scientist",0,212,331,271.50,1-800-Flowers,2.7,"New York",NY,"Carle Place",NY,1,"1001 to 5000 employees",1976,"Company - Public",Wholesale,"Business Services","$1 to $2 billion (USD)",1,0,1,0,0,1,1,0,0,0,0,0,1
528,"Data Scientist",0,212,331,271.50,Aptive,3.5,Washington,DC,Alexandria,VA,0,"51 to 200 employees",2012,"Company - Private",Consulting,"Business Services","$25 to $50 million (USD)",1,1,1,0,0,1,1,0,0,0,0,0,1
529,"Data Analyst",0,66,112,89.00,"The Mom Project",4.9,Longmont,CO,Chicago,IL,0,"1 to 50 employees",2016,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable",1,0,0,1,1,0,0,1,0,1,1,0,0
530,"Data Scientist",0,66,112,89.00,Powertek,3.6,Washington,DC,Rockville,MD,0,"51 to 200 employees",2001,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)",0,0,0,0,0,0,0,0,0,0,0,0,0
531,"Data Scientist",0,66,112,89.00,"JCD Staffing",5,Washington,DC,Germantown,MD,0,"1 to 50 employees",NULL,"Company - Private",NULL,NULL,"Unknown / Non-Applicable",1,1,1,0,0,1,1,0,0,0,0,0,1
532,"Data Scientist",0,66,112,89.00,"Bayside Solutions",3.1,Sunnyvale,CA,Pleasanton,CA,1,"1 to 50 employees",2001,"Company - Private","Staffing & Outsourcing","Business Services","$1 to $5 million (USD)",1,0,1,0,0,1,1,0,0,0,0,0,0
533,"Data Engineer",1,66,112,89.00,Thumbtack,3.9,"San Francisco",CA,"San Francisco",CA,1,"501 to 1000 employees",2009,"Company - Private",Internet,"Information Technology","Unknown / Non-Applicable",1,0,0,0,0,0,1,1,0,0,0,0,0
534,"Data Scientist",0,66,112,89.00,"MILVETS Systems Technology, Inc.",3.4,Patuxent,MD,Orlando,FL,0,"51 to 200 employees",1986,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)",0,0,0,0,0,0,1,0,0,0,0,0,0
